                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4481,                 3.2318,                 1.5831,                0.01409,                0.53479,                0.11805,                0.07524,                 1.2168,                 3.3267,                 1.3697,             0.00013336,             0.00013336,             0.00013336
                      2,                 1.2659,                 2.5098,                 1.4443,                0.85876,                0.15569,                   0.21,                0.14217,                 1.1716,                 2.9216,                 1.2589,             0.00027778,             0.00027778,             0.00027778
                      3,                 1.2761,                 1.8412,                  1.409,                0.85167,                0.22179,                0.26127,                0.17325,                 1.1456,                 2.5289,                 1.2372,             0.00041626,             0.00041626,             0.00041626
                      4,                 1.1762,                 1.6754,                 1.3644,                0.80704,                0.26452,                0.30873,                0.20684,                  1.206,                 2.2736,                 1.3026,             0.00054879,             0.00054879,             0.00054879
                      5,                 1.2557,                 1.5632,                 1.3742,                 0.8023,                0.25161,                0.28222,                0.17062,                 1.3255,                 2.3299,                 1.3989,             0.00067539,             0.00067539,             0.00067539
                      6,                 1.2231,                 1.4079,                 1.3331,                0.25835,                0.39608,                0.31685,                0.18728,                  1.284,                 2.3024,                 1.3542,             0.00079604,             0.00079604,             0.00079604
                      7,                 1.1456,                  1.349,                  1.294,                0.34447,                0.36668,                0.35198,                0.20467,                 1.3432,                 2.2189,                 1.4176,             0.00091076,             0.00091076,             0.00091076
                      8,                 1.1228,                 1.2516,                 1.2684,                0.58738,                0.44286,                0.49015,                 0.2918,                 1.3917,                 2.1868,                 1.4692,              0.0010195,              0.0010195,              0.0010195
                      9,                 1.1384,                  1.253,                 1.2819,                0.68403,                0.52477,                0.63188,                0.40222,                 1.3476,                 2.0567,                 1.4474,              0.0011224,              0.0011224,              0.0011224
                     10,                 1.1399,                 1.2682,                 1.2794,                  0.675,                0.48561,                0.59153,                 0.3866,                 1.3379,                 2.0017,                 1.4163,              0.0012192,              0.0012192,              0.0012192
                     11,                 1.1167,                 1.2425,                 1.2776,                0.62017,                  0.553,                0.66149,                0.41787,                 1.3513,                 1.8832,                 1.4487,              0.0013102,              0.0013102,              0.0013102
                     12,                 1.1438,                 1.2227,                  1.288,                0.73589,                0.49608,                0.65674,                0.40113,                 1.3331,                 1.8685,                 1.4056,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.0944,                 1.1488,                 1.2664,                0.42679,                0.47926,                0.43885,                0.26068,                  1.462,                  2.249,                 1.7432,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.0623,                 1.1502,                 1.2369,                0.49864,                0.24103,                0.26623,                0.15582,                 1.4636,                 2.9021,                 1.6098,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.0686,                 1.1152,                 1.2226,                0.50605,                0.43641,                0.46912,                0.26934,                 1.5001,                  2.462,                 1.5651,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.0506,                 1.0865,                 1.2281,                0.66071,                0.61709,                0.70293,                 0.4347,                   1.27,                 1.6728,                 1.3793,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.0769,                 1.1071,                 1.2805,                0.77562,                0.66083,                0.73827,                0.44057,                 1.3058,                 1.8253,                 1.4143,              0.0011719,              0.0011719,              0.0011719
                     18,                 1.0718,                 1.1176,                 1.2613,                0.82348,                0.73497,                0.80073,                 0.4906,                 1.3076,                 1.5489,                 1.3862,              0.0011389,              0.0011389,              0.0011389
                     19,                 1.0467,                 1.0581,                  1.227,                 0.8163,                0.70786,                0.78267,                0.50764,                 1.2697,                 1.4761,                 1.3744,              0.0011059,              0.0011059,              0.0011059
                     20,                  1.044,                 1.0257,                 1.2178,                0.87924,                0.72373,                0.84307,                0.54539,                 1.1698,                  1.203,                 1.2642,              0.0010729,              0.0010729,              0.0010729
                     21,                0.99922,                0.99439,                 1.1827,                0.85696,                0.82144,                0.87332,                 0.5577,                 1.1515,                 1.1957,                 1.2461,              0.0010399,              0.0010399,              0.0010399
                     22,                 1.0128,                 1.0219,                 1.2185,                0.83325,                0.80305,                0.87325,                0.56427,                 1.2204,                 1.2105,                 1.2948,              0.0010069,              0.0010069,              0.0010069
                     23,                0.96131,                0.96233,                 1.1521,                0.84608,                0.81879,                0.88454,                0.57289,                 1.2028,                  1.159,                  1.277,             0.00097386,             0.00097386,             0.00097386
                     24,                0.99812,                0.98527,                 1.2019,                0.82033,                 0.7818,                0.85125,                0.54284,                  1.146,                 1.1886,                 1.2621,             0.00094085,             0.00094085,             0.00094085
                     25,                 0.9783,                0.94535,                 1.1797,                0.84648,                0.79885,                0.86293,                0.55961,                 1.1036,                 1.1338,                 1.2216,             0.00090785,             0.00090785,             0.00090785
                     26,                0.94511,                0.91538,                 1.1724,                0.87404,                0.78545,                0.88013,                0.57215,                 1.1033,                 1.0778,                 1.2154,             0.00087484,             0.00087484,             0.00087484
                     27,                0.92006,                0.91637,                 1.1496,                0.88839,                0.78733,                0.87522,                0.56934,                 1.1281,                 1.0739,                 1.1993,             0.00084184,             0.00084184,             0.00084184
                     28,                0.92074,                0.88351,                 1.1631,                0.86013,                0.78872,                0.86413,                0.54914,                 1.1543,                 1.1714,                 1.2021,             0.00080883,             0.00080883,             0.00080883
                     29,                0.90415,                0.86118,                 1.1443,                0.90212,                 0.8288,                 0.8937,                0.59303,                 1.1275,                 1.1019,                 1.1954,             0.00077582,             0.00077582,             0.00077582
                     30,                0.92972,                0.89492,                 1.1728,                0.88994,                 0.8106,                0.89073,                0.58496,                  1.095,                 1.0089,                 1.1873,             0.00074282,             0.00074282,             0.00074282
                     31,                0.88559,                0.86127,                 1.1452,                0.89558,                0.81704,                0.88261,                0.57883,                 1.0853,                0.97424,                 1.2055,             0.00070981,             0.00070981,             0.00070981
                     32,                0.88153,                0.84254,                  1.109,                0.90471,                0.77166,                0.87896,                 0.5662,                 1.1208,                 1.0416,                 1.2431,              0.0006768,              0.0006768,              0.0006768
                     33,                0.92244,                0.84002,                 1.1677,                 0.8694,                0.80305,                0.87344,                0.56625,                  1.122,                 1.0995,                 1.2249,              0.0006438,              0.0006438,              0.0006438
                     34,                0.84976,                0.78185,                 1.0975,                0.91251,                0.79115,                0.89328,                0.59764,                 1.0552,                0.98122,                 1.1854,             0.00061079,             0.00061079,             0.00061079
                     35,                0.85466,                  0.809,                 1.1103,                 0.8385,                0.83031,                0.89235,                 0.5923,                 1.0694,                 1.0064,                  1.184,             0.00057778,             0.00057778,             0.00057778
                     36,                0.83798,                0.80174,                 1.1198,                  0.872,                0.88975,                0.90581,                0.59514,                 1.0861,                0.97878,                 1.1946,             0.00054478,             0.00054478,             0.00054478
                     37,                0.82621,                0.79245,                 1.0919,                 0.9034,                0.86244,                0.91875,                 0.6216,                 1.0425,                0.90863,                 1.1765,             0.00051177,             0.00051177,             0.00051177
                     38,                0.82638,                0.78347,                 1.1249,                0.90003,                0.87857,                 0.9202,                0.62079,                 1.0423,                0.89523,                 1.1789,             0.00047876,             0.00047876,             0.00047876
                     39,                0.81017,                0.73265,                 1.0834,                0.85428,                0.88756,                0.91935,                0.60878,                 1.0768,                0.90164,                 1.1947,             0.00044576,             0.00044576,             0.00044576
