                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2959,                 1.5277,                 1.3431,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.092796,               0.000796,               0.000796
                      2,                 1.4558,                 1.7118,                 1.5122,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.084636,              0.0016357,              0.0016357
                      3,                 1.5531,                 1.6312,                 1.5329,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.076416,              0.0024163,              0.0024163
                      4,                  1.592,                 1.7099,                 1.6426,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.068138,              0.0031377,              0.0031377
                      5,                  1.671,                 1.7595,                 1.6886,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0598,              0.0038001,              0.0038001
                      6,                  1.632,                 1.6405,                 1.6317,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.051403,              0.0044034,              0.0044034
                      7,                  1.621,                   1.62,                 1.6244,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.042948,              0.0049475,              0.0049475
                      8,                 1.5311,                 1.4702,                 1.5656,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.034433,              0.0054326,              0.0054326
                      9,                 1.5632,                 1.4846,                 1.5756,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.025859,              0.0058585,              0.0058585
                     10,                 1.5667,                 1.5202,                 1.5921,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.017225,              0.0062254,              0.0062254
                     11,                 1.5502,                 1.5211,                  1.575,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0085331,              0.0065331,              0.0065331
                     12,                 1.5443,                 1.4682,                 1.5565,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0063381,              0.0063381,              0.0063381
                     13,                 1.5098,                 1.3925,                 1.5474,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0063381,              0.0063381,              0.0063381
                     14,                 1.4445,                 1.4231,                  1.499,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0060098,              0.0060098,              0.0060098
                     15,                 1.4152,                 1.3383,                 1.4695,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0056814,              0.0056814,              0.0056814
                     16,                 1.4393,                  1.362,                  1.504,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0053531,              0.0053531,              0.0053531
                     17,                 1.4236,                 1.3855,                 1.4849,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0050247,              0.0050247,              0.0050247
                     18,                 1.4356,                 1.3971,                 1.4779,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0046963,              0.0046963,              0.0046963
                     19,                 1.3942,                 1.2997,                 1.4491,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004368,               0.004368,               0.004368
                     20,                  1.346,                 1.2394,                  1.425,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0040396,              0.0040396,              0.0040396
                     21,                 1.3742,                 1.4519,                 1.5119,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0037113,              0.0037113,              0.0037113
                     22,                 1.3153,                 1.3114,                  1.445,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033829,              0.0033829,              0.0033829
                     23,                 1.2729,                  1.332,                 1.4154,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0030546,              0.0030546,              0.0030546
                     24,                 1.2581,                 1.2402,                 1.4128,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0027262,              0.0027262,              0.0027262
                     25,                 1.2554,                 1.1866,                 1.3756,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0023979,              0.0023979,              0.0023979
                     26,                  1.237,                 1.1178,                 1.3438,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0020695,              0.0020695,              0.0020695
                     27,                 1.2062,                 1.0753,                 1.3407,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017412,              0.0017412,              0.0017412
                     28,                 1.2412,                 1.0963,                 1.3862,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014128,              0.0014128,              0.0014128
                     29,                   1.16,                 1.0442,                  1.317,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010845,              0.0010845,              0.0010845
                     30,                 1.1896,                 1.0659,                 1.3518,                0.84795,                0.82865,                0.88341,                0.57555,                 1.3451,                 1.1372,                 1.3805,             0.00075611,             0.00075611,             0.00075611
