                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7871,                 3.3869,                 1.8162,                0.00737,                0.23864,                0.05159,                0.02746,                 1.3682,                 3.5421,                 1.5717,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 1.5678,                 3.2813,                 1.6283,                0.01305,                0.48323,                0.12416,                0.06459,                 1.5336,                 3.4313,                 1.5768,             0.00014409,             0.00014409,             0.00014409
                      3,                 1.4041,                 2.7453,                 1.5117,                0.01263,                0.49188,                0.18937,                0.11495,                 1.2979,                  3.235,                 1.3564,              0.0002149,              0.0002149,              0.0002149
                      4,                 1.4809,                 2.3218,                 1.5222,                0.01303,                0.49513,                 0.2506,                0.15383,                 1.2683,                 3.0631,                 1.2937,              0.0002791,              0.0002791,              0.0002791
                      5,                 1.4525,                 2.0202,                 1.4386,                0.93099,                0.14881,                 0.2794,                0.17237,                 1.2538,                 2.9378,                 1.3127,             0.00033671,             0.00033671,             0.00033671
                      6,                 1.3443,                 1.8941,                 1.4135,                0.97637,                0.12003,                 0.2895,                0.18153,                 1.2804,                 2.8495,                 1.3206,             0.00038771,             0.00038771,             0.00038771
                      7,                 1.3282,                 1.9183,                 1.4801,                0.87247,                0.22619,                0.28552,                0.16819,                 1.2433,                 2.7722,                 1.3278,             0.00043211,             0.00043211,             0.00043211
                      8,                 1.3007,                 1.7571,                 1.4155,                0.91371,                0.22024,                0.28064,                0.16033,                 1.2778,                 2.5698,                 1.3546,             0.00046991,             0.00046991,             0.00046991
                      9,                 1.2275,                  1.734,                 1.4204,                0.91831,                0.18293,                0.26038,                0.15853,                 1.3243,                 2.5003,                 1.3484,             0.00050111,             0.00050111,             0.00050111
                     10,                 1.2016,                 1.5005,                 1.3279,                0.77401,                0.20238,                 0.2631,                0.16655,                 1.3519,                 2.6547,                 1.3707,             0.00052571,             0.00052571,             0.00052571
                     11,                 1.2604,                 1.5417,                 1.3604,                0.88274,                0.23317,                0.30262,                0.18652,                 1.3292,                 2.5225,                 1.3325,             0.00054371,             0.00054371,             0.00054371
                     12,                 1.2232,                 1.4222,                 1.3194,                0.80527,                0.27062,                0.37361,                0.22787,                 1.2947,                 2.2297,                 1.3425,              0.0005551,              0.0005551,              0.0005551
                     13,                 1.1765,                 1.3557,                 1.3208,                0.76033,                0.33333,                0.40449,                0.24492,                 1.2582,                 2.1897,                 1.3218,              0.0005599,              0.0005599,              0.0005599
                     14,                 1.2695,                 1.4149,                 1.3373,                0.75934,                0.36125,                0.46515,                0.26921,                 1.2834,                 2.0566,                 1.3164,             0.00055809,             0.00055809,             0.00055809
                     15,                 1.2349,                 1.3635,                 1.2902,                0.85975,                0.33333,                0.54927,                 0.3154,                 1.3059,                 1.9919,                 1.3236,             0.00054968,             0.00054968,             0.00054968
                     16,                 1.1506,                 1.4642,                 1.2649,                0.74477,                0.36686,                0.54003,                0.29837,                 1.3504,                 2.1197,                 1.3638,             0.00053467,             0.00053467,             0.00053467
                     17,                 1.1212,                 1.4333,                 1.2588,                0.77594,                0.39371,                0.65626,                0.39181,                 1.1763,                 1.9829,                 1.2578,             0.00051306,             0.00051306,             0.00051306
                     18,                 1.1679,                 1.4467,                 1.3089,                0.69983,                0.41135,                0.68577,                0.43018,                  1.185,                 1.9369,                 1.2501,             0.00048485,             0.00048485,             0.00048485
                     19,                 1.0618,                 1.3435,                 1.1914,                0.71589,                0.42679,                0.70885,                0.44448,                 1.2237,                 1.8892,                 1.2687,             0.00045004,             0.00045004,             0.00045004
                     20,                 1.1483,                 1.3578,                  1.319,                0.74711,                0.46522,                0.75685,                0.48674,                 1.2049,                 1.8346,                 1.2428,             0.00040862,             0.00040862,             0.00040862
                     21,                 1.0596,                 1.3202,                 1.2247,                0.79002,                0.56881,                0.79836,                0.51057,                 1.1799,                 1.7805,                 1.2295,             0.00034674,             0.00034674,             0.00034674
                     22,                 1.0402,                 1.2426,                 1.1971,                0.78782,                 0.6813,                0.79574,                  0.505,                 1.1908,                 1.6961,                 1.2337,             0.00034674,             0.00034674,             0.00034674
                     23,                 1.0681,                 1.2443,                 1.2061,                0.79871,                0.72457,                0.80753,                0.51083,                 1.1919,                 1.6129,                 1.2309,             0.00028072,             0.00028072,             0.00028072
                     24,                 1.0371,                 1.1818,                 1.2037,                0.82905,                0.77371,                0.83853,                0.52826,                  1.173,                 1.4928,                 1.2229,             0.00021471,             0.00021471,             0.00021471
                     25,                0.95929,                 1.1242,                 1.1406,                0.82592,                0.78281,                0.84687,                0.54358,                 1.1548,                 1.4173,                 1.2149,              0.0001487,              0.0001487,              0.0001487
