                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2554,                 1.5348,                 1.3621,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0928,                 0.0008,                 0.0008
                      2,                 1.4236,                 1.6975,                 1.4993,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.084644,              0.0016439,              0.0016439
                      3,                 1.5044,                  1.636,                  1.527,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.076428,              0.0024284,              0.0024284
                      4,                 1.5481,                 1.6904,                 1.6387,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.068154,              0.0031535,              0.0031535
                      5,                 1.5845,                 1.6729,                 1.6549,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.059819,              0.0038192,              0.0038192
                      6,                 1.5874,                 1.5778,                 1.6387,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.051425,              0.0044255,              0.0044255
                      7,                 1.5916,                 1.5668,                 1.6252,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.042972,              0.0049724,              0.0049724
                      8,                 1.4684,                  1.449,                 1.5357,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.03446,              0.0054599,              0.0054599
                      9,                 1.4687,                 1.4715,                 1.5718,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.025888,               0.005888,               0.005888
                     10,                  1.505,                 1.5239,                 1.5945,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.017257,              0.0062567,              0.0062567
                     11,                    1.5,                 1.4789,                 1.5752,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008566,               0.006566,               0.006566
                     12,                 1.5096,                 1.4269,                 1.5582,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00637,                0.00637,                0.00637
                     13,                 1.4743,                 1.3557,                 1.5643,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00637,                0.00637,                0.00637
                     14,                 1.4169,                 1.3637,                 1.5275,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00604,                0.00604,                0.00604
                     15,                 1.3746,                 1.3442,                 1.4757,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00571,                0.00571,                0.00571
                     16,                 1.4001,                 1.3181,                 1.4983,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00538,                0.00538,                0.00538
                     17,                 1.4146,                 1.3442,                 1.5183,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00505,                0.00505,                0.00505
                     18,                 1.3824,                 1.3134,                 1.5066,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00472,                0.00472,                0.00472
                     19,                  1.347,                 1.2623,                 1.4637,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00439,                0.00439,                0.00439
                     20,                 1.3558,                 1.2395,                 1.4312,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00406,                0.00406,                0.00406
                     21,                 1.3173,                  1.425,                 1.4632,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00373,                0.00373,                0.00373
                     22,                 1.2657,                 1.2818,                 1.4271,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0034,                 0.0034,                 0.0034
                     23,                 1.2278,                 1.2585,                 1.4085,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00307,                0.00307,                0.00307
                     24,                 1.2111,                 1.1647,                 1.4068,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00274,                0.00274,                0.00274
                     25,                 1.2185,                  1.128,                 1.3831,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00241,                0.00241,                0.00241
                     26,                 1.1489,                 1.0876,                 1.3192,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00208,                0.00208,                0.00208
                     27,                 1.1547,                 1.0461,                 1.3495,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00175,                0.00175,                0.00175
                     28,                 1.1606,                 1.0679,                 1.3638,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00142,                0.00142,                0.00142
                     29,                 1.1139,                 1.0354,                 1.3197,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00109,                0.00109,                0.00109
                     30,                 1.1515,                 1.0506,                 1.3467,                0.84349,                0.79703,                0.87084,                0.55849,                 1.3279,                 1.1545,                 1.4159,                0.00076,                0.00076,                0.00076
