                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2719,                 1.6653,                  1.183,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.092863,              0.0008632,              0.0008632
                      2,                 1.4574,                 1.9174,                 1.3416,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.084774,              0.0017738,              0.0017738
                      3,                 1.5632,                 1.8248,                 1.3747,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.07662,              0.0026203,              0.0026203
                      4,                 1.6204,                 1.9587,                 1.4912,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.068403,              0.0034028,              0.0034028
                      5,                 1.6178,                 1.8416,                 1.4702,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.060121,              0.0041212,              0.0041212
                      6,                 1.6253,                 1.7542,                  1.442,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.051776,              0.0047755,              0.0047755
                      7,                 1.6301,                 1.7338,                 1.4627,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.043366,              0.0053658,              0.0053658
                      8,                  1.545,                 1.6133,                 1.4322,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.034892,               0.005892,               0.005892
                      9,                 1.5604,                 1.6787,                 1.4269,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.026354,              0.0063541,              0.0063541
                     10,                 1.5719,                 1.6873,                  1.424,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.017752,              0.0067522,              0.0067522
                     11,                 1.6501,                 1.8291,                 1.4806,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0090862,              0.0070862,              0.0070862
                     12,                 1.6573,                 1.7563,                 1.4498,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0068749,              0.0068749,              0.0068749
                     13,                 1.5334,                 1.6388,                  1.388,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0068749,              0.0068749,              0.0068749
                     14,                  1.487,                 1.6084,                 1.3714,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0065189,              0.0065189,              0.0065189
                     15,                 1.4533,                 1.5501,                 1.3386,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006163,               0.006163,               0.006163
                     16,                 1.4455,                 1.5611,                 1.3551,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0058071,              0.0058071,              0.0058071
                     17,                  1.442,                 1.5369,                 1.3515,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0054512,              0.0054512,              0.0054512
                     18,                 1.4337,                 1.5383,                  1.337,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0050952,              0.0050952,              0.0050952
                     19,                  1.407,                 1.4693,                  1.308,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0047393,              0.0047393,              0.0047393
                     20,                  1.372,                  1.422,                 1.2783,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0043834,              0.0043834,              0.0043834
                     21,                 1.3177,                 1.5293,                  1.282,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0040275,              0.0040275,              0.0040275
                     22,                 1.3117,                 1.4701,                 1.2721,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0036715,              0.0036715,              0.0036715
                     23,                 1.2567,                 1.4262,                 1.2449,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033156,              0.0033156,              0.0033156
                     24,                 1.2633,                 1.3299,                 1.2378,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0029597,              0.0029597,              0.0029597
                     25,                 1.2469,                 1.3013,                 1.2158,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0026038,              0.0026038,              0.0026038
                     26,                 1.1913,                 1.2412,                 1.1816,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0022479,              0.0022479,              0.0022479
                     27,                  1.171,                 1.1817,                 1.1675,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018919,              0.0018919,              0.0018919
                     28,                 1.1936,                 1.1935,                 1.1984,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001536,               0.001536,               0.001536
                     29,                 1.1558,                 1.1651,                 1.1592,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011801,              0.0011801,              0.0011801
                     30,                 1.1748,                 1.1667,                  1.188,                0.83138,                0.82323,                0.86636,                0.55433,                 1.3031,                 1.1768,                 1.2044,             0.00082417,             0.00082417,             0.00082417
