                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4481,                 3.2318,                 1.5831,                0.01409,                0.53479,                0.11805,                0.07524,                 1.2168,                 3.3267,                 1.3697,             0.00013336,             0.00013336,             0.00013336
                      2,                 1.2664,                 2.5069,                 1.4419,                0.85056,                0.11352,                0.21521,                0.14515,                 1.1674,                 2.8984,                 1.2522,             0.00028058,             0.00028058,             0.00028058
                      3,                 1.2708,                  1.832,                 1.4054,                0.83309,                0.23175,                0.26566,                0.17726,                 1.1443,                 2.4719,                 1.2328,             0.00042484,             0.00042484,             0.00042484
                      4,                 1.1813,                 1.6656,                  1.366,                0.86822,                0.25484,                 0.3259,                0.21462,                 1.1802,                 2.1863,                 1.2658,             0.00056612,             0.00056612,             0.00056612
                      5,                 1.2585,                 1.5684,                 1.3797,                 0.7709,                0.24194,                0.25987,                0.15593,                 1.3324,                 2.3034,                 1.4585,             0.00070443,             0.00070443,             0.00070443
                      6,                  1.221,                 1.4138,                 1.3327,                0.77042,                0.22419,                0.24777,                 0.1318,                 1.3384,                 2.6886,                  1.502,             0.00083978,             0.00083978,             0.00083978
                      7,                 1.1468,                 1.3408,                   1.29,                0.32329,                 0.3032,                0.25932,                0.12558,                 1.5129,                 2.6671,                 1.6594,             0.00097215,             0.00097215,             0.00097215
                      8,                 1.1294,                 1.2462,                 1.2834,                0.59222,                0.33963,                0.39265,                0.22031,                 1.4631,                 2.5344,                 1.5926,              0.0011015,              0.0011015,              0.0011015
                      9,                 1.1242,                 1.2421,                 1.2751,                0.62067,                0.54123,                0.61219,                0.38991,                 1.3346,                 2.0278,                 1.4855,               0.001228,               0.001228,               0.001228
                     10,                 1.1529,                 1.2707,                 1.2955,                0.68837,                0.41604,                0.49655,                0.29937,                 1.5118,                 2.4155,                 1.6572,              0.0013514,              0.0013514,              0.0013514
                     11,                 1.1307,                 1.2585,                 1.2755,                0.64203,                0.65023,                0.71452,                0.44029,                 1.3624,                 1.6748,                 1.5554,              0.0014719,              0.0014719,              0.0014719
                     12,                 1.1625,                 1.2093,                 1.2922,                0.67183,                0.65668,                0.73195,                0.46677,                 1.2875,                 1.5828,                 1.4244,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.1308,                 1.1908,                 1.2905,                0.87367,                0.61467,                0.74517,                 0.4783,                 1.2878,                 1.6589,                 1.4458,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.0815,                  1.179,                 1.2477,                0.76962,                0.58297,                 0.6641,                 0.4095,                   1.33,                 1.8791,                 1.4698,               0.001469,               0.001469,               0.001469
                     15,                 1.0797,                 1.1452,                 1.2389,                0.81561,                0.58134,                0.71584,                0.41647,                 1.4518,                 1.7793,                  1.536,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.0761,                 1.1147,                 1.2505,                0.66311,                0.65369,                0.70074,                0.43201,                 1.3768,                  1.727,                 1.4576,               0.001436,               0.001436,               0.001436
