                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3772,                  3.973,                 4.2359,                0.00222,                0.11634,                0.00203,                0.00084,                 3.0413,                  4.105,                 4.1585,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 3.5724,                 3.9808,                 4.2409,                0.00264,                0.14015,                0.00196,                0.00084,                 3.0404,                 4.1067,                 4.1575,             0.00014409,             0.00014409,             0.00014409
                      3,                 3.3057,                 3.8888,                 4.1855,                0.00243,                0.12825,                0.00165,                0.00074,                 3.0392,                 4.1098,                 4.1554,              0.0002149,              0.0002149,              0.0002149
                      4,                 3.4906,                 3.8203,                 4.1504,                0.00199,                0.10444,                0.00147,                0.00064,                 3.0404,                 4.1095,                 4.1527,              0.0002791,              0.0002791,              0.0002791
                      5,                 3.5124,                 3.7867,                 4.1334,                0.00243,                0.12825,                0.00192,                0.00083,                 3.0373,                 4.1073,                 4.1467,             0.00033671,             0.00033671,             0.00033671
                      6,                  3.415,                 3.7163,                 4.1049,                0.00243,                0.12825,                0.00179,                0.00074,                 3.0346,                 4.1022,                 4.1401,             0.00038771,             0.00038771,             0.00038771
                      7,                 3.2893,                 3.5708,                 4.0934,                0.00233,                0.12229,                0.00903,                 0.0015,                 3.0289,                 4.0953,                 4.1266,             0.00043211,             0.00043211,             0.00043211
                      8,                 3.3814,                 3.4998,                 4.0504,                0.00256,                 0.1342,                0.00198,                0.00087,                 3.0236,                 4.0983,                 4.1154,             0.00046991,             0.00046991,             0.00046991
                      9,                 3.2959,                  3.474,                 4.0059,                0.00266,                0.14015,                0.00447,                0.00142,                 3.0185,                 4.1017,                 4.0991,             0.00050111,             0.00050111,             0.00050111
                     10,                 3.2773,                 3.2889,                 3.9114,                0.00264,                0.14015,                0.00346,                 0.0017,                 3.0222,                 4.0928,                 4.0881,             0.00052571,             0.00052571,             0.00052571
                     11,                 3.2086,                 3.2001,                 3.8788,                0.00254,                 0.1342,                0.00272,                0.00124,                  3.038,                 4.0822,                 4.0742,             0.00054371,             0.00054371,             0.00054371
                     12,                 3.1602,                  3.142,                 3.7913,                0.00256,                 0.1342,                0.00268,                0.00119,                 3.0428,                 4.1063,                 4.0575,              0.0005551,              0.0005551,              0.0005551
                     13,                 3.1063,                 3.1614,                 3.7496,                0.00256,                 0.1342,                 0.0027,                0.00125,                 3.0425,                 4.1131,                 4.0451,              0.0005599,              0.0005599,              0.0005599
                     14,                 3.0828,                 3.1201,                 3.6976,                0.00177,                0.11905,                0.00258,                0.00118,                 3.0368,                 4.0582,                 4.0235,             0.00055809,             0.00055809,             0.00055809
                     15,                 3.0586,                 3.0612,                 3.6142,                0.00176,                  0.125,                 0.0027,                0.00115,                 3.0299,                 3.9763,                 4.0093,             0.00054968,             0.00054968,             0.00054968
                     16,                 2.7644,                 3.2717,                 3.5289,                0.00183,                0.13095,                0.00289,                 0.0012,                 3.0249,                 3.9529,                  3.981,             0.00053467,             0.00053467,             0.00053467
                     17,                 2.7277,                 3.2918,                 3.4441,                0.00192,                 0.1369,                   0.01,                0.00203,                 2.9998,                 3.9383,                 3.9359,             0.00051306,             0.00051306,             0.00051306
                     18,                 2.7195,                 3.1249,                 3.4049,                0.00202,                0.14286,                0.00996,                  0.002,                 2.9815,                 3.9054,                 3.9079,             0.00048485,             0.00048485,             0.00048485
                     19,                 2.6343,                 3.1715,                 3.3236,                0.00246,                0.16071,                0.00431,                0.00148,                 2.9472,                 3.8477,                 3.8568,             0.00045004,             0.00045004,             0.00045004
                     20,                 2.5581,                 3.1318,                 3.3777,                0.51505,                0.01786,                 0.0063,                0.00218,                 2.8525,                 3.8055,                 3.7418,             0.00040862,             0.00040862,             0.00040862
                     21,                 2.6624,                 3.0847,                 3.3013,                0.52494,                0.01786,                0.00667,                0.00239,                 2.8119,                 3.9204,                 3.6863,             0.00034674,             0.00034674,             0.00034674
                     22,                 2.6503,                 3.0104,                 3.2604,                0.52665,                0.01786,                0.00699,                0.00253,                 2.7896,                 3.9685,                 3.6475,             0.00034674,             0.00034674,             0.00034674
                     23,                 2.6064,                 3.0796,                 3.2574,                 0.5282,                0.01786,                0.00685,                0.00244,                 2.7601,                 4.0021,                 3.6095,             0.00028072,             0.00028072,             0.00028072
                     24,                 2.5931,                  3.035,                 3.2372,                  0.523,                0.01786,                0.00737,                0.00252,                 2.7402,                 3.8418,                 3.6014,             0.00021471,             0.00021471,             0.00021471
                     25,                 2.5568,                 2.9532,                  3.205,                0.52335,                0.01786,                0.00783,                0.00279,                 2.7404,                 3.7416,                  3.605,              0.0001487,              0.0001487,              0.0001487
